long_name,short_name,date,blurb,image_url,projectpage_url
Online wagering cohort analysis,gambling,20/2/21,"An ""opt-out"" approach may help online sports wagerers gamble more responsibly",https://daryavanichkina.com/images/2111_gambling.jpg,https://daryavanichkina.com/project/gambling
VegMachine API,vegmachine,31/12/19,Extracting and processing geospatial data for ecological modeling,https://daryavanichkina.com/images/2111_vegmachine.jpg,https://daryavanichkina.com/project/vegmachine
Australian corpus,corpus,31/12/21,"Analysing and cleaning an Australian obesity corpus",https://daryavanichkina.com/images/2111_corpus.jpg,https://daryavanichkina.com/project/corpus
OMIA-EVA integration,omia,20/7/21,Managing the integration of an animal variant database into the European Variant Archive,https://daryavanichkina.com/images/2111_omia.jpg,https://daryavanichkina.com/project/omia
Flu biomarkers,predictflu,20/5/20,Managing a project around finding gene expression biomarkers of hospitalization with flu,https://daryavanichkina.com/images/2111_flu.jpg,https://daryavanichkina.com/project/predictflu
Protehome,protehome,20/10/21,Managing a project to develop a software tool for storing mass spectrometry data,https://daryavanichkina.com/images/2111_protehome.jpg,https://daryavanichkina.com/project/protehome
Test analysis,testanalysis,20/5/19,Comparing two tests of proficiency to identify whether they are interchangeable,https://daryavanichkina.com/images/2111_testanalysis.jpg,https://daryavanichkina.com/project/testanalysis
Social networks,socialnetworks,21/11/21,Social network analysis,https://daryavanichkina.com/images/2111_socialnetwork.jpg,https://daryavanichkina.com/project/socialnetworks
PowerBI dashboard for training,trainingdashboard,22/12/21,Reporting on SIH training,https://daryavanichkina.com/images/2111_sihtraining.jpg,https://daryavanichkina.com/project/trainingdashboard
Shiny soil moisture dashboard,nowcasting,30/07/22,"Visualising 20 years of soil moisture data",https://daryavanichkina.com/images/2211_nowcasting_grid.png,https://daryavanichkina.com/project/nowcasting
Greater Sydney railway ecology,railways,16/11/22,"Using satellite data to understand wildlife habitats in urban areas",https://daryavanichkina.com/images/221101_railways.png,https://daryavanichkina.com/project/railways
